filename,file_id,function_name,x,y
mcnp_sims/field/compute/input/0_0.txt,0_0,const,-16238.302574940222,-10466.54673491568
mcnp_sims/field/compute/input/0_1.txt,0_1,const,-10730.798149886876,-10466.54673491568
mcnp_sims/field/compute/input/0_2.txt,0_2,const,-5223.293724833531,-10466.54673491568
mcnp_sims/field/compute/input/0_3.txt,0_3,const,284.2107002198136,-10466.54673491568
mcnp_sims/field/compute/input/0_4.txt,0_4,const,5791.71512527316,-10466.54673491568
mcnp_sims/field/compute/input/0_5.txt,0_5,const,11299.219550326507,-10466.54673491568
mcnp_sims/field/compute/input/0_6.txt,0_6,const,16395.767246771524,-10055.590006307353
mcnp_sims/field/compute/input/0_7.txt,0_7,const,11154.411601424763,-9789.441226600768
mcnp_sims/field/compute/input/0_8.txt,0_8,const,5646.907176371416,-9789.441226600768
mcnp_sims/field/compute/input/0_9.txt,0_9,const,139.40275131806993,-9789.441226600768
mcnp_sims/field/compute/input/0_10.txt,0_10,const,-5368.101673735277,-9789.441226600768
mcnp_sims/field/compute/input/0_11.txt,0_11,const,-10875.606098788623,-9789.441226600768
mcnp_sims/field/compute/input/0_12.txt,0_12,const,-16238.302574940222,-9644.633277699028
mcnp_sims/field/compute/input/0_13.txt,0_13,const,-11263.09570930004,-9112.335718285853
mcnp_sims/field/compute/input/0_14.txt,0_14,const,-5755.5912842467005,-9112.335718285853
mcnp_sims/field/compute/input/0_15.txt,0_15,const,-248.08685919334675,-9112.335718285853
mcnp_sims/field/compute/input/0_16.txt,0_16,const,5259.4175658599925,-9112.335718285853
mcnp_sims/field/compute/input/0_17.txt,0_17,const,10766.921990913332,-9112.335718285853
mcnp_sims/field/compute/input/0_18.txt,0_18,const,16274.426415966685,-9112.335718285853
mcnp_sims/field/compute/input/0_19.txt,0_19,const,11686.709160837934,-8435.23020997094
mcnp_sims/field/compute/input/0_20.txt,0_20,const,6179.20473578458,-8435.23020997094
mcnp_sims/field/compute/input/0_21.txt,0_21,const,671.7003107312412,-8435.23020997094
mcnp_sims/field/compute/input/0_22.txt,0_22,const,-4835.804114322113,-8435.23020997094
mcnp_sims/field/compute/input/0_23.txt,0_23,const,-10343.308539375452,-8435.23020997094
mcnp_sims/field/compute/input/0_24.txt,0_24,const,-15850.812964428791,-8435.23020997094
mcnp_sims/field/compute/input/0_25.txt,0_25,const,-11795.393268713226,-7758.124701656026
mcnp_sims/field/compute/input/0_26.txt,0_26,const,-6287.888843659857,-7758.124701656026
mcnp_sims/field/compute/input/0_27.txt,0_27,const,-780.384418606518,-7758.124701656026
mcnp_sims/field/compute/input/0_28.txt,0_28,const,4727.120006446821,-7758.124701656026
mcnp_sims/field/compute/input/0_29.txt,0_29,const,10234.62443150016,-7758.124701656026
mcnp_sims/field/compute/input/0_30.txt,0_30,const,15742.128856553529,-7758.124701656026
mcnp_sims/field/compute/input/0_31.txt,0_31,const,12219.00672025109,-7081.019193341112
mcnp_sims/field/compute/input/0_32.txt,0_32,const,6711.502295197752,-7081.019193341112
mcnp_sims/field/compute/input/0_33.txt,0_33,const,1203.9978701444124,-7081.019193341112
mcnp_sims/field/compute/input/0_34.txt,0_34,const,-4303.506554908927,-7081.019193341112
mcnp_sims/field/compute/input/0_35.txt,0_35,const,-9811.010979962295,-7081.019193341112
mcnp_sims/field/compute/input/0_36.txt,0_36,const,-15318.515405015634,-7081.019193341112
mcnp_sims/field/compute/input/0_37.txt,0_37,const,-12327.690828126382,-6403.913685026198
mcnp_sims/field/compute/input/0_38.txt,0_38,const,-6820.186403073043,-6403.913685026198
mcnp_sims/field/compute/input/0_39.txt,0_39,const,-1312.6819780196747,-6403.913685026198
mcnp_sims/field/compute/input/0_40.txt,0_40,const,4194.8224470336645,-6403.913685026198
mcnp_sims/field/compute/input/0_41.txt,0_41,const,9702.326872087004,-6403.913685026198
mcnp_sims/field/compute/input/0_42.txt,0_42,const,15209.831297140343,-6403.913685026198
mcnp_sims/field/compute/input/0_43.txt,0_43,const,12751.304279664277,-5726.808176711285
mcnp_sims/field/compute/input/0_44.txt,0_44,const,7243.799854610908,-5726.808176711285
mcnp_sims/field/compute/input/0_45.txt,0_45,const,1736.2954295575692,-5726.808176711285
mcnp_sims/field/compute/input/0_46.txt,0_46,const,-3771.20899549577,-5726.808176711285
mcnp_sims/field/compute/input/0_47.txt,0_47,const,-9278.71342054911,-5726.808176711285
mcnp_sims/field/compute/input/0_48.txt,0_48,const,-14786.217845602449,-5726.808176711285
mcnp_sims/field/compute/input/0_49.txt,0_49,const,-12859.988387539539,-5049.702668396371
mcnp_sims/field/compute/input/0_50.txt,0_50,const,-7352.483962486229,-5049.702668396371
mcnp_sims/field/compute/input/0_51.txt,0_51,const,-1844.9795374328605,-5049.702668396371
mcnp_sims/field/compute/input/0_52.txt,0_52,const,3662.524887620508,-5049.702668396371
mcnp_sims/field/compute/input/0_53.txt,0_53,const,9170.029312673818,-5049.702668396371
mcnp_sims/field/compute/input/0_54.txt,0_54,const,14677.533737727186,-5049.702668396371
mcnp_sims/field/compute/input/0_55.txt,0_55,const,13283.601839077404,-4372.597160081458
mcnp_sims/field/compute/input/0_56.txt,0_56,const,7776.097414024094,-4372.597160081458
mcnp_sims/field/compute/input/0_57.txt,0_57,const,2268.592988970726,-4372.597160081458
mcnp_sims/field/compute/input/0_58.txt,0_58,const,-3238.9114360825843,-4372.597160081458
mcnp_sims/field/compute/input/0_59.txt,0_59,const,-8746.415861135953,-4372.597160081458
mcnp_sims/field/compute/input/0_60.txt,0_60,const,-14253.92028618932,-4372.597160081458
mcnp_sims/field/compute/input/0_61.txt,0_61,const,-13392.285946952725,-3695.4916517665442
mcnp_sims/field/compute/input/0_62.txt,0_62,const,-7884.781521899356,-3695.4916517665442
mcnp_sims/field/compute/input/0_63.txt,0_63,const,-2377.2770968460463,-3695.4916517665442
mcnp_sims/field/compute/input/0_64.txt,0_64,const,3130.227328207322,-3695.4916517665442
