,id,c_percent,n_percent,lat,lon,z,site,site_alt,site_alt_id,lower_bin,upper_bin,_x,_y,core,x,y
0,1-1-A,1.1042222123052015,1.334,32.4191777466267,-85.4147269991234,-2.5,0,0_A,A,-5.0,0.0,5929.202410988339,-6263.257071252992,1,5929.202410988339,-6263.257071252992
1,1-1-B,0.4750015432501141,0.451,32.4191777466267,-85.4147269991234,-7.5,0,0_B,B,-10.0,-5.0,5929.202410988339,-6263.257071252992,1,5929.202410988339,-6263.257071252992
2,1-1-C,0.38630465433238803,0.397,32.4191777466267,-85.4147269991234,-12.5,0,0_C,C,-15.0,-10.0,5929.202410988339,-6263.257071252992,1,5929.202410988339,-6263.257071252992
3,1-1-D,0.31059298672875435,0.309,32.4191777466267,-85.4147269991234,-17.5,0,0_D,D,-20.0,-15.0,5929.202410988339,-6263.257071252992,1,5929.202410988339,-6263.257071252992
4,1-1-E,0.33390315830133277,0.319,32.4191777466267,-85.4147269991234,-22.5,0,0_E,E,-25.0,-20.0,5929.202410988339,-6263.257071252992,1,5929.202410988339,-6263.257071252992
5,1-1-F,0.32602340938211344,0.334,32.4191777466267,-85.4147269991234,-27.5,0,0_F,F,-30.0,-25.0,5929.202410988339,-6263.257071252992,1,5929.202410988339,-6263.257071252992
6,1-2-A,0.5645457780565064,0.598,32.4191777466267,-85.4147269991234,-2.5,0,0_A,A,-5.0,0.0,5929.202410988339,-6263.257071252992,2,6429.202410988339,-5763.257071252992
7,1-2-B,0.4415589765294344,0.435,32.4191777466267,-85.4147269991234,-7.5,0,0_B,B,-10.0,-5.0,5929.202410988339,-6263.257071252992,2,6429.202410988339,-5763.257071252992
8,1-2-C,0.4650431197196724,0.468,32.4191777466267,-85.4147269991234,-12.5,0,0_C,C,-15.0,-10.0,5929.202410988339,-6263.257071252992,2,6429.202410988339,-5763.257071252992
9,1-2-D,0.44663884239888435,0.397,32.4191777466267,-85.4147269991234,-17.5,0,0_D,D,-20.0,-15.0,5929.202410988339,-6263.257071252992,2,6429.202410988339,-5763.257071252992
10,1-2-E,0.4962628159251191,0.471,32.4191777466267,-85.4147269991234,-22.5,0,0_E,E,-25.0,-20.0,5929.202410988339,-6263.257071252992,2,6429.202410988339,-5763.257071252992
