x,y
-16238.302574940222,-10466.54673491568
-10730.798149886876,-10466.54673491568
-5223.293724833531,-10466.54673491568
284.2107002198136,-10466.54673491568
5791.71512527316,-10466.54673491568
11299.219550326507,-10466.54673491568
16395.767246771524,-10055.590006307353
11154.411601424763,-9789.441226600768
5646.907176371416,-9789.441226600768
139.40275131806993,-9789.441226600768
-5368.101673735277,-9789.441226600768
-10875.606098788623,-9789.441226600768
-16238.302574940222,-9644.633277699028
-11263.09570930004,-9112.335718285853
-5755.5912842467005,-9112.335718285853
-248.08685919334675,-9112.335718285853
5259.4175658599925,-9112.335718285853
10766.921990913332,-9112.335718285853
16274.426415966685,-9112.335718285853
11686.709160837934,-8435.23020997094
6179.20473578458,-8435.23020997094
671.7003107312412,-8435.23020997094
-4835.804114322113,-8435.23020997094
-10343.308539375452,-8435.23020997094
-15850.812964428791,-8435.23020997094
-11795.393268713226,-7758.124701656026
-6287.888843659857,-7758.124701656026
-780.384418606518,-7758.124701656026
4727.120006446821,-7758.124701656026
10234.62443150016,-7758.124701656026
15742.128856553529,-7758.124701656026
12219.00672025109,-7081.019193341112
6711.502295197752,-7081.019193341112
1203.9978701444124,-7081.019193341112
-4303.506554908927,-7081.019193341112
-9811.010979962295,-7081.019193341112
-15318.515405015634,-7081.019193341112
-12327.690828126382,-6403.913685026198
-6820.186403073043,-6403.913685026198
-1312.6819780196747,-6403.913685026198
4194.8224470336645,-6403.913685026198
9702.326872087004,-6403.913685026198
15209.831297140343,-6403.913685026198
12751.304279664277,-5726.808176711285
7243.799854610908,-5726.808176711285
1736.2954295575692,-5726.808176711285
-3771.20899549577,-5726.808176711285
-9278.71342054911,-5726.808176711285
-14786.217845602449,-5726.808176711285
-12859.988387539539,-5049.702668396371
-7352.483962486229,-5049.702668396371
-1844.9795374328605,-5049.702668396371
3662.524887620508,-5049.702668396371
9170.029312673818,-5049.702668396371
14677.533737727186,-5049.702668396371
13283.601839077404,-4372.597160081458
7776.097414024094,-4372.597160081458
2268.592988970726,-4372.597160081458
-3238.9114360825843,-4372.597160081458
-8746.415861135953,-4372.597160081458
-14253.92028618932,-4372.597160081458
-13392.285946952725,-3695.4916517665442
-7884.781521899356,-3695.4916517665442
-2377.2770968460463,-3695.4916517665442
3130.227328207322,-3695.4916517665442
8637.73175326069,-3695.4916517665442
14145.236178314,-3695.4916517665442
13815.89939849059,-3018.3861434516302
8308.39497343728,-3018.3861434516302
2800.8905483839117,-3018.3861434516302
-2706.6138766694567,-3018.3861434516302
-8214.118301722767,-3018.3861434516302
-13721.622726776135,-3018.3861434516302
-13924.58350636591,-2341.2806351367162
-8417.079081312542,-2341.2806351367162
-2909.574656259174,-2341.2806351367162
2597.929768794136,-2341.2806351367162
8105.4341938475045,-2341.2806351367162
13612.938618900873,-2341.2806351367162
14348.196957903776,-1664.1751268218031
8840.692532850408,-1664.1751268218031
3333.1881077970975,-1664.1751268218031
-2174.316317256271,-1664.1751268218031
-7681.820742309639,-1664.1751268218031
-13189.32516736295,-1664.1751268218031
-14456.881065779038,-987.06961850689
-8949.376640725728,-987.06961850689
-3441.8722156723597,-987.06961850689
2065.6322093810086,-987.06961850689
7573.136634434319,-987.06961850689
13080.641059487687,-987.06961850689
14880.494517316962,-309.96411019197694
9372.990092263593,-309.96411019197694
3865.485667210225,-309.96411019197694
-1642.018757843085,-309.96411019197694
-7149.523182896453,-309.96411019197694
-12657.027607949763,-309.96411019197694
-14989.178625192224,367.14139812293797
-9481.674200138856,367.14139812293797
-3974.1697750854873,367.14139812293797
1533.3346499677646,367.14139812293797
7040.839075021133,367.14139812293797
12548.343500074501,367.14139812293797
15412.79207673009,1044.246906437851
9905.287651676721,1044.246906437851
4397.783226623469,1044.246906437851
-1109.7211984298992,1044.246906437851
-6617.225623483268,1044.246906437851
-12124.730048536636,1044.246906437851
